id,question,answer,explanation,unit
1243,100℃에서는 반응이 일어나지 않아 경화가 되지 않는다.,O,"[석고 4P] 맞는 진술이다. 온도 항목에서 100℃ → 반응 일어나지 않음, 경화×로 제시된다. 핵심은 극한 온도에서 경화 여부이며, 37℃ 이하와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 온도 증가가 항상 가속한다는 과일반화에 주의해야 한다.",석고
1244,소량의 습기 흡수는 언제나 hemihydrate 용해도를 크게 낮춰 경화시간을 증가시킨다.,X,"[석고 4P] 틀린 진술이다. 실제로는 소량의 습기 흡수로 표면에 CaSO4·2H2O가 형성되면 additional nuclei로 작용해 경화시간이 감소할 수 있다. 습도 항목에서 small은 additional nuclei로 작용해 경화시간 감소로 제시된다. 여기서는 소량과 다량 습도 효과 혼동이 사용된 형태이다. large humidity와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1245,다량의 습기 흡수는 hemihydrate의 용해도를 저하시켜 setting time을 증가시킨다.,O,"[석고 4P] 맞는 진술이다. 습도 항목에서 large는 hemihydrate 용해도 저하로 S.T 증가를 일으킨다. 핵심은 습도 양에 따른 효과이며, small humidity와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 습도 효과를 모두 촉진으로 일반화에 주의해야 한다.",석고
1246,2% 이상 K2SO4와 0.5~1% terra alba는 retarder로 제시된다.,X,"[석고 4P] 틀린 진술이다. 실제로는 2% 이상 K2SO4, 2%까지 NaCl, 3.4%까지 Na2SO4, 0.5~1% terra alba는 accelerator로 제시된다. additives 목록에서 이 농도 범위들은 accelerator에 들어간다. 여기서는 촉진제와 지연제 목록 바꿔치기이 사용된 형태이다. retarder list와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1247,"2% borax, 20% NaCl, 12% Na2SO4, citrate·acetate·borate 화합물은 retarder로 제시된다.",O,"[석고 4P] 맞는 진술이다. retarder 목록에 borax, 고농도 NaCl, 고농도 Na2SO4 등이 포함된다. 핵심은 retarder 종류와 농도이며, accelerator list와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 저농도/고농도 NaCl 효과 혼동에 주의해야 한다.",석고
1248,Dried blood와 colloidal gels는 대표적인 accelerator 목록에 포함된다.,X,"[석고 5P] 틀린 진술이다. 실제로는 Dried blood와 colloidal gels는 retarder 목록에 포함된다. retarder 목록 끝에 dried blood와 colloidal gels가 제시된다. 여기서는 혈액 관련 항목을 촉진제로 바꾸기이 사용된 형태이다. terra alba와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1249,W/P ratio가 크면 setting이 지연되고 강도가 약하며 porosity가 증가한다.,O,"[석고 5P] 맞는 진술이다. W/P ratio가 큰 경우의 효과가 setting 지연, strength 약화, porosity↑로 정리된다. 핵심은 혼수비 증가의 복합 효과이며, low W/P와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 혼수비 효과 전체 역전에 주의해야 한다.",석고
1250,Setting expansion은 dihydrate가 hemihydrate로 탈수되는 동안 나타나는 순수 수축이다.,X,"[석고 5P] 틀린 진술이다. 실제로는 Setting expansion은 hemihydrate가 dihydrate로 변하는 동안 나타나는 mass의 팽창이다. 경화팽창 정의는 setting 중 hemihydrate→dihydrate 변화와 mass 팽창이다. 여기서는 팽창을 탈수 수축으로 바꾸기이 사용된 형태이다. dehydration shrinkage와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1251,석고 setting 시 0.06~0.5%의 선팽창이 일어난다.,O,"[석고 5P] 맞는 진술이다. 경화팽창 범위는 0.06%~0.5%로 제시된다. 핵심은 경화팽창 수치이며, hygroscopic expansion와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 소수점 위치 오류에 주의해야 한다.",석고
1252,경화 후 1시간 내에는 24시간 팽창량의 5% 이하만 일어난다.,X,"[석고 5P] 틀린 진술이다. 실제로는 경화 후 1시간 내에 24시간 팽창량의 약 75%가 일어난다. 자료는 경화 후 1시간 내 24시간 팽창의 75%가 일어난다고 제시한다. 여기서는 75% 수치 바꿔치기이 사용된 형태이다. ready for use 30min와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1253,Normal setting expansion은 공기 중에서 경화하면서 volume이 변화하는 현상이다.,O,"[석고 5P] 맞는 진술이다. normal setting expansion 설명은 공기 중 경화와 volume 변화이다. 핵심은 normal과 hygroscopic 구분이며, hygroscopic expansion와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 공기 중과 물속 조건 혼동에 주의해야 한다.",석고
1254,Normal setting expansion은 모든 결정 성장이 멈춘 뒤 입자가 사라지면서 나타난다.,X,"[석고 5P] 틀린 진술이다. 실제로는 Normal setting expansion은 성장한 결정들이 서로 부딪히면서 나타난다. normal expansion 원인은 crystal이 팽창하며 부딪힐 때로 제시된다. 여기서는 결정 충돌 원인 누락이 사용된 형태이다. volume contraction와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1255,석고는 실질적으로 volume 수축이 있지만 crystallization mechanism 때문에 팽창한 것처럼 보인다.,O,"[석고 5P] 맞는 진술이다. 자료는 Volume 수축 -7.11%, 선수축 -2.37%와 apparent expansion을 함께 설명한다. 핵심은 실제 부피 변화와 겉보기 변화이며, hygroscopic expansion와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 실제 수축 성분을 제거하는 함정에 주의해야 한다.",석고
1256,Hygroscopic expansion은 완전히 건조한 공기 중에서만 나타난다.,X,"[석고 5P] 틀린 진술이다. 실제로는 Hygroscopic expansion은 물속에서 경화할 때 계속 물이 공급되어 나타난다. 수화팽창 설명은 water immersion과 계속 물 공급이 핵심이다. 여기서는 물속과 공기 중 경화 조건 혼동이 사용된 형태이다. normal expansion와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1257,Hygroscopic expansion은 normal setting expansion보다 2배 이상 크다.,O,"[석고 5P] 맞는 진술이다. 자료는 normal setting expansion보다 2배 이상의 팽창으로 제시한다. 핵심은 수화팽창의 상대 크기이며, normal expansion와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 상대 크기 역전에 주의해야 한다.",석고
1258,정확한 die 제작에서는 setting expansion이 클수록 항상 유리하다.,X,"[석고 5P] 틀린 진술이다. 실제로는 인상채득이나 cast die model 제작처럼 dimensional accuracy가 요구될 때는 setting expansion이 작아야 한다. control of setting expansion에서 정밀성이 요구될 때 팽창이 적어야 한다고 제시된다. 여기서는 정확도와 고팽창 혼동이 사용된 형태이다. high expansion stone와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1259,Additives를 첨가하면 setting expansion과 strength가 감소할 수 있다.,O,"[석고 5P] 맞는 진술이다. control 항목은 additives 첨가 시 Set.exp.↓ strength↓로 설명한다. 핵심은 첨가제의 이중 영향이며, low concentration NaCl와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 첨가제 효과 과일반화에 주의해야 한다.",석고
1260,저농도 NaCl은 setting expansion을 항상 감소시킨다.,X,"[석고 5P] 틀린 진술이다. 실제로는 저농도 NaCl은 setting expansion을 증가시킬 수 있다. additives 항목에서 저농도 NaCl은 setting exp.↑로 예외 처리된다. 여기서는 저농도/고농도 NaCl 혼동이 사용된 형태이다. 20% NaCl retarder와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1261,1% K2SO4는 setting expansion에 영향이 없다.,O,"[석고 5P] 맞는 진술이다. control 항목에서 1% K2SO4는 setting exp.에 영향 없음으로 제시된다. 핵심은 K2SO4의 농도별 효과이며, >2% K2SO4 accelerator와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 촉진제 여부와 팽창 효과 혼동에 주의해야 한다.",석고
1262,W/P ratio가 증가하면 setting expansion은 증가한다.,X,"[석고 5P] 틀린 진술이다. 실제로는 W/P ratio가 증가하면 setting expansion은 감소한다. control 항목에서 w/p ratio↑: setting expansion↓, 혼수비에 반비례로 제시된다. 여기서는 경화시간 방향과 팽창 방향 혼동이 사용된 형태이다. setting time와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1263,임상적 한계 내에서 mixing time이 증가하면 setting expansion은 증가한다.,O,"[석고 5P] 맞는 진술이다. control 항목에서 mixing time↑는 setting expansion↑로 제시된다. 핵심은 혼합시간과 팽창이며, vacuum mixing와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 혼합시간과 진공혼합 효과 혼동에 주의해야 한다.",석고
1264,Vacuum mix는 hand mix보다 setting expansion이 크다.,X,"[석고 5P] 틀린 진술이다. 실제로는 Vacuum mix는 hand mix보다 setting expansion이 작다. control 항목에서 vacuum mix가 hand mix보다 setting expansion↓로 제시된다. 여기서는 진공혼합 효과 역전이 사용된 형태이다. hand mix와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1265,Wet strength 또는 green strength는 free water가 존재할 때의 강도이다.,O,"[석고 5P] 맞는 진술이다. strength 항목에서 wet strength는 free water 존재 시 강도이다. 핵심은 습성강도 정의이며, dry strength와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 wet/dry strength 측정 조건 혼동에 주의해야 한다.",석고
1266,Dry strength는 혼합 직후 free water가 가장 많을 때 측정한다.,X,"[석고 5P] 틀린 진술이다. 실제로는 Dry strength는 specimen의 모든 excess water를 제거한 후 24시간 뒤 측정한다. dry strength는 excess water 제거 후 24 hr 측정으로 제시된다. 여기서는 건성강도와 습성강도 조건 혼동이 사용된 형태이다. wet strength와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1267,석고처럼 brittle한 재료는 압축력보다 인장력에 약하다.,O,"[석고 5P] 맞는 진술이다. 자료는 brittle한 재료가 압축력보다 인장력에 약하다고 설명한다. 핵심은 취성 재료의 파괴 방향이며, ductile material와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 압축/인장 취약성 역전에 주의해야 한다.",석고
1268,High W/P plaster의 인장강도는 압축강도의 약 100%이다.,X,"[석고 5P] 틀린 진술이다. 실제로는 High W/P plaster의 인장강도는 압축강도의 약 25%이다. 자료는 high w/p plaster tensile strength가 compressive strength의 25%라고 제시한다. 여기서는 25%와 10% 또는 100% 혼동이 사용된 형태이다. low W/P와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1269,Low W/P plaster의 인장강도는 압축강도의 약 10%이다.,O,"[석고 5P] 맞는 진술이다. 자료는 low w/p plaster tensile strength가 compressive strength의 10%라고 제시한다. 핵심은 혼수비별 인장/압축 비이며, high W/P와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 10% 수치 바꿔치기에 주의해야 한다.",석고
1270,Fracture resistance에는 인장강도가 전혀 관여하지 않는다.,X,"[석고 5P] 틀린 진술이다. 실제로는 Fracture resistance에는 인장강도가 관여한다. 자료는 fracture resistance: 인장강도가 관여한다고 제시한다. 여기서는 파절과 마모 지표 혼동이 사용된 형태이다. abrasion resistance와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1271,Abrasion resistance는 압축강도 증가와 비례해 증가한다.,O,"[석고 5P] 맞는 진술이다. 자료는 abrasion resistance↑: compressive strength↑(비례)로 제시한다. 핵심은 마모저항과 압축강도이며, tensile strength와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 파절저항과 마모저항 지표 혼동에 주의해야 한다.",석고
1272,Dry strength는 wet strength보다 항상 약하다.,X,"[석고 5P] 틀린 진술이다. 실제로는 Dry strength는 wet strength보다 2배 이상 강하다. 자료는 dry strength가 wet strength에 비해 2배 이상 강하다고 제시한다. 여기서는 강도 비교 방향 역전이 사용된 형태이다. surface hardness after disinfection와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1273,Strength는 W/P ratio에 반비례하여 W/P ratio가 증가하면 감소한다.,O,"[석고 6P] 맞는 진술이다. strength factor에서 w/p↑→strength↓로 제시된다. 핵심은 혼수비와 강도이며, setting expansion와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 강도와 팽창 방향 혼동에 주의해야 한다.",석고
1274,석고는 100℃ 이상에서 건조해야 강도 변화가 없다.,X,"[석고 6P] 틀린 진술이다. 실제로는 석고는 45℃ 이하의 저온에서 건조해야 한다. strength factor에서 저온 건조, 45℃ 이하가 제시된다. 여기서는 제조 세척 온도와 건조 온도 혼동이 사용된 형태이다. 100℃ water washing in manufacture와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1275,45℃ 이상에서는 석고 강도에 변화가 일어날 수 있다.,O,"[석고 6P] 맞는 진술이다. 자료는 45℃ 이상은 강도에 변화를 일으킨다고 제시한다. 핵심은 건조 온도 상한이며, ≤45℃와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 건조 온도 효과 무시에 주의해야 한다.",석고
1276,100℃ 이상에서는 결정 내 수분이 증가하여 팽창만 일어난다.,X,"[석고 6P] 틀린 진술이다. 실제로는 100℃ 이상에서는 결정 내 수분 상실로 수축이 발생한다. 자료는 100℃ 이상에서 결정 내 수분 상실과 수축을 제시한다. 여기서는 경화팽창과 건조수축 혼동이 사용된 형태이다. setting expansion와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1277,Mixing time이 증가하면 강도는 1분까지 증가하고 그 이상에서는 감소한다.,O,"[석고 6P] 맞는 진술이다. strength factor에서 mixing time↑→strength↑는 1분까지이고 이후 감소한다. 핵심은 혼합시간의 최적점이며, setting time와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 경화시간과 강도 효과 혼동에 주의해야 한다.",석고
1278,Accelerator나 retarder 첨가는 intercrystalline cohesion을 높여 강도를 항상 증가시킨다.,X,"[석고 6P] 틀린 진술이다. 실제로는 Accelerator나 retarder 첨가는 intercrystalline cohesion을 낮춰 강도를 감소시킨다. strength factor에서 accelerator나 retarder 첨가→intercrystalline cohesion↓→강도↓로 제시된다. 여기서는 경화시간 조절 효과와 강도 효과 혼동이 사용된 형태이다. setting time control와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1279,Vacuum mixing은 석고 강도를 약간 증가시킨다.,O,"[석고 6P] 맞는 진술이다. strength factor에서 vacuum mixing은 약간 강도↑로 제시된다. 핵심은 진공혼합과 강도이며, vacuum expansion effect와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 팽창 감소와 강도 감소를 혼동에 주의해야 한다.",석고
1280,경화체의 porosity는 오직 외부 오염물질에 의해서만 생긴다.,X,"[석고 6P] 틀린 진술이다. 실제로는 경화체의 porosity는 unreacted water에 의한 공극과 성장 결정의 밀쳐내는 힘에 의한 공극으로 나눌 수 있다. microstructure 항목은 Porosity(a+b)로 두 원인을 구분한다. 여기서는 공극 원인 단일화이 사용된 형태이다. external contamination와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1281,Unreacted water에 의한 microporosity는 spherical하고 gypsum crystal 사이에 존재한다.,O,"[석고 6P] 맞는 진술이다. a형 porosity는 spherical 형태, gypsum crystal 사이에 존재로 제시된다. 핵심은 a형 공극 특성이며, b형 porosity와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 a/b 공극 특성 바꿔치기에 주의해야 한다.",석고
1282,성장 결정의 힘으로 생긴 microporosity는 크고 구형이며 crystal 사이에만 존재한다.,X,"[석고 6P] 틀린 진술이다. 실제로는 성장하는 gypsum crystal이 밀쳐내는 힘으로 생긴 microporosity는 더 작고 불규칙하며 crystal 내부에 존재한다. b형 porosity는 a보다 작고 모양이 불규칙하며 crystal 내부에 존재한다. 여기서는 a/b 공극 특성 바꿔치기이 사용된 형태이다. a형 porosity와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1283,Low W/P ratio에서는 unreacted water가 감소하여 first type porosity가 감소한다.,O,"[석고 6P] 맞는 진술이다. low W/P 설명에서 unreacted water 감소(a)로 제시된다. 핵심은 혼수비와 a형 공극이며, high W/P와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 혼수비와 free water 방향성 역전에 주의해야 한다.",석고
1284,Low W/P ratio에서는 nucleation site가 없어져 crystal growth가 완전히 중단된다.,X,"[석고 6P] 틀린 진술이다. 실제로는 Low W/P ratio에서는 단위부피당 nucleation site가 상대적으로 증가하여 초기 crystal growth와 b형 공극이 증가한다. low W/P 설명은 nucleation site 증가와 crystal 초기성장 증가(b 증가)를 연결한다. 여기서는 전체 공극 감소와 b형 공극 변화를 혼동이 사용된 형태이다. a형 porosity와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1285,Low W/P ratio에서는 first type porosity 감소가 우세하여 전체 porosity는 감소한다.,O,"[석고 6P] 맞는 진술이다. 자료는 first type porosity가 우세하므로 전체적인 porosity 감소로 결론낸다. 핵심은 부분 공극과 전체 공극이며, b porosity와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 부분 증가를 전체 증가로 오해에 주의해야 한다.",석고
1286,석고는 상온 20℃에서 29/100cc의 용해도를 갖는다.,X,"[석고 6P] 틀린 진술이다. 실제로는 석고는 상온 20℃에서 0.29/100cc의 용해도를 갖는다. Solubility 항목에 20℃, 0.29/100cc가 제시된다. 여기서는 소수점 위치 오류이 사용된 형태이다. calcium phosphate solution와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1287,Gypsum을 소독 용액에 담가 두어야 할 경우 calcium phosphate 포화용액을 첨가한다.,O,"[석고 6P] 맞는 진술이다. Solubility 항목은 소독 용액 침적 시 calcium phosphate 포화용액 첨가를 제시한다. 핵심은 소독액 침적과 용해도 조절이며, sodium hypochlorite dilution와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 소독법과 포화용액 첨가 혼동에 주의해야 한다.",석고
1288,높은 viscosity는 기포 형성 가능성을 완전히 제거한다.,X,"[석고 6P] 틀린 진술이다. 실제로는 높은 viscosity는 기포 형성 가능성을 증가시킨다. Viscosity 항목에서 높은 viscosity는 기포 형성 가능성 증가로 제시된다. 여기서는 높은 점조도를 유리한 조건으로만 해석이 사용된 형태이다. low viscosity impression plaster와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1289,인상용 석고는 연조직에 최소한의 압력만 가하도록 viscosity가 낮아야 한다.,O,"[석고 6P] 맞는 진술이다. Viscosity 항목은 인상용 석고의 낮은 viscosity 필요성을 설명한다. 핵심은 인상용 석고의 조작성이며, model plaster와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 인상재 요구조건과 모형재 요구조건 혼동에 주의해야 한다.",석고
1290,"Detail reproduction은 wetting, vibration, contamination과 무관하다.",X,"[석고 7P] 틀린 진술이다. 실제로는 Detail reproduction에는 인상재와의 wetting, vibration, contamination이 관련된다. Reproduction of detail 항목에 wetting, vibration, contamination이 제시된다. 여기서는 한 가지 요인으로 과단순화이 사용된 형태이다. viscosity only와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1291,Type I과 Type II 석고산물의 세부재현성 기준은 75 μm이다.,O,"[석고 7P] 맞는 진술이다. page 7 reproduction of detail에서도 Type 1,2: 75 μm가 제시된다. 핵심은 Type별 detail 값이며, Type III/IV/V와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 75와 50 μm 혼동에 주의해야 한다.",석고
1292,"Type III, IV, V 석고산물의 세부재현성 기준은 75 μm이다.",X,"[석고 7P] 틀린 진술이다. 실제로는 Type III, IV, V 석고산물의 세부재현성 기준은 50 μm이다. page 7 reproduction of detail에서 Type 3,4,5: 50 μm가 제시된다. 여기서는 stone 계열 값을 plaster 계열 값으로 바꾸기이 사용된 형태이다. Type I/II와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1293,석고 조작에는 hand spatulation이 포함된다.,O,"[석고 7P] 맞는 진술이다. Manipulation 항목에 hand spatulation이 제시된다. 핵심은 조작 방법이며, mechanical vacuum mix와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 수기 혼합 배제 함정에 주의해야 한다.",석고
1294,석고 조작에서 mechanical mix with vacuum은 사용할 수 없다.,X,"[석고 7P] 틀린 진술이다. 실제로는 석고 조작에는 vacuum을 이용한 mechanical mix가 포함된다. Manipulation 항목에 Mechanical mix With Vacuum이 제시된다. 여기서는 진공혼합 배제 함정이 사용된 형태이다. hand spatulation와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1295,임상에서 setting time을 바꾸어야 할 때는 W/P ratio나 혼합시간을 약간 조정한다.,O,"[석고 7P] 맞는 진술이다. Manipulation 항목은 임상적 조절을 W/P ratio 또는 혼합시간의 약간 조정으로 제시한다. 핵심은 임상 조절 방법이며, chemical additives와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 임상 조절을 과도한 첨가제로 일반화에 주의해야 한다.",석고
1296,석고는 습한 장소의 열린 용기에 보관한다.,X,"[석고 7P] 틀린 진술이다. 실제로는 석고는 건조한 장소의 airtight, waterproof container에 보관한다. Storage 항목에서 건조한 장소, air-tight, water-proof container가 제시된다. 여기서는 습기 노출과 보관 조건 혼동이 사용된 형태이다. humidity effect와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1297,석고의 경도와 마모저항은 압축강도와 관련된다.,O,"[석고 7P] 맞는 진술이다. 경도와 마모저항 항목은 압축강도와 관련된다고 제시한다. 핵심은 경도·마모저항의 관련 지표이며, tensile strength와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 파절저항과 마모저항 지표 혼동에 주의해야 한다.",석고
1298,W/P ratio가 감소하면 경도는 감소한다.,X,"[석고 7P] 틀린 진술이다. 실제로는 W/P ratio가 감소하면 경도는 증가한다. 경도 항목에 w/p↓: 경도↑가 제시된다. 여기서는 방향성 역전이 사용된 형태이다. strength와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1299,Free water가 마르면 석고의 경도는 증가한다.,O,"[석고 7P] 맞는 진술이다. 경도 항목에 Free water 마르면 경도↑가 제시된다. 핵심은 잉여수와 경도이며, wet strength와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 습성/건성 상태 혼동에 주의해야 한다.",석고
1300,Waxing up 시에는 석고의 마모저항이 전혀 중요하지 않다.,X,"[석고 7P] 틀린 진술이다. 실제로는 Waxing up 시에는 석고의 마모저항이 중요하다. 경도와 마모저항 항목은 waxing up 시 마모저항 중요성을 제시한다. 여기서는 waxing up 요구조건 무시이 사용된 형태이다. disinfection와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1301,석고 소독은 surface hardness를 감소시킬 수 있다.,O,"[석고 7P] 맞는 진술이다. 소독 항목 첫 줄에 surface hardness↓가 제시된다. 핵심은 소독의 부작용이며, hardness after drying와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 건조로 인한 경도 증가와 소독 효과 혼동에 주의해야 한다.",석고
1302,Sodium hypochlorite 용액은 원액으로 3시간 이상 boiling하는 방법이 제시된다.,X,"[석고 7P] 틀린 진술이다. 실제로는 Sodium hypochlorite 용액은 1:10으로 희석하여 30분간 immersion하는 방법이 제시된다. 소독 항목에 Sodium hypochlorite sol. 1:10 희석, 30분 immersion이 제시된다. 여기서는 소독 시간·농도 과장이 사용된 형태이다. iodophor spray와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1303,Iodophor spray는 석고 소독 방법 중 하나로 제시된다.,O,"[석고 7P] 맞는 진술이다. 소독 항목에 Iodophor spray가 포함된다. 핵심은 소독 방법이며, NaOCl immersion와 섞이면 방향이나 수치가 쉽게 바뀐다. 특히 분무법 금지로 바꾸기에 주의해야 한다.",석고
1304,석고 소독은 제조자 지시와 무관하게 항상 같은 조건으로 시행한다.,X,"[석고 7P] 틀린 진술이다. 실제로는 석고 소독은 제조자의 지시에 따라 시행해야 한다. 소독 항목 끝에 제조자의 지시따라가 제시된다. 여기서는 제조자 지시 무시이 사용된 형태이다. fixed protocol와 혼동하면 재료명, 수치, 조건이 반대로 정리되기 쉽다.",석고
1305,Plaster는 α-hemihydrate라서 stone보다 bulk volume이 작고 물이 더 적게 필요하다.,X,[석고 1P] 틀린 진술이다. Plaster는 β-hemihydrate이며 bulk volume이 크고 가장 덜 치밀하여 물이 많이 필요하다. Stone이 α-hemihydrate이고 bulk volume이 낮아 물 요구량이 적다. β/α 구분과 bulk volume 방향을 함께 바꾼 함정이다.,석고
1306,Stone은 β-hemihydrate이며 개방용기에서 제조되어 plaster보다 거칠고 다공성이다.,X,[석고 1P] 틀린 진술이다. Stone은 α-hemihydrate이며 수증기압하 wet condition에서 제조된다. 이 조건 때문에 plaster보다 균일하고 치밀하며 bulk volume이 작다. Plaster 제조 조건과 stone의 입자 특성을 서로 바꾼 문항이다.,석고
1307,"Plaster는 open container에서 제조되며, 재결정이 일어나지 않아 거칠고 다공성 입자가 된다.",O,[석고 2P] β-hemihydrate 제조는 대기압 개방 용기 가열이다. 이때 입자 자체의 재결정이 일어나지 않아 원래 gypsum 입자의 거친 구조가 유지된다. 그 결과 high bulk volume과 높은 물 요구량으로 이어진다.,석고
1308,Improved stone은 20% NaCl 처리로 bulk volume이 증가하고 강도가 낮아진다.,X,[석고 2P] 틀린 진술이다. Improved stone은 high density raw material과 30% CaCl2 용액 boiling 과정이 관련된다. 결과적으로 bulk volume은 낮고 strength는 높다. Retarder로 제시된 고농도 NaCl과 improved stone 제조 조건을 혼동한 함정이다.,석고
1309,Type I impression plaster는 master cast와 die 제작에 사용하는 high-strength dental stone이다.,X,"[석고 1P] Type I은 무치악부위 인상용 plaster이다. Master cast와 die는 Type IV high-strength dental stone의 용도이며, Type V는 high expansion dental stone이다. 용도와 Type을 섞는 전형적 함정이다.",석고
1310,"Type IV와 Type V는 최소 압축강도 기준이 모두 35 MPa이지만, Type V의 경화팽창 범위가 더 크다.",O,"[석고 1P] 표 8-3에서 Type IV와 Type V 모두 최소 압축강도 35.0 MPa이다. 차이는 setting expansion이며 Type IV는 0~0.15%, Type V는 0.16~0.30%이다. 고강도와 고팽창을 분리해서 보아야 한다.",석고
1311,Type I·II의 detail 기준은 50 μm이고 Type III·IV·V는 75 μm이다.,X,"[석고 1P] 틀린 진술이다. Type I·II는 75 μm, Type III·IV·V는 50 μm 기준이다. 표 8-3과 마지막 세부재현성 정리가 같은 방향으로 제시한다. Plaster 계열과 stone 계열의 detail 수치를 바꾼 함정이다.",석고
1312,"제조과정은 dihydrate에서 hemihydrate로 가는 탈수이고, 경화반응은 hemihydrate에서 dihydrate로 돌아가는 수화이다.",O,[석고 2P] 석고 제조와 경화는 서로 반대 방향이다. 제조는 CaSO4·2H2O에서 CaSO4·1/2H2O를 만드는 partial dehydration이다. 경화는 hemihydrate가 물을 받아 dihydrate가 되며 열을 내는 반응이다.,석고
1313,"석고 경화는 제조과정과 같은 탈수반응이며, hemihydrate와 dihydrate의 색 차이 때문에 setting이 일어난다.",X,[석고 2P] 경화는 제조의 역과정인 수화반응이다. Crystalline theory에서 setting의 원인은 hemihydrate와 dihydrate의 용해도 차이다. 색 차이로 설명하면 핵심 원리가 완전히 바뀐다.,석고
1314,"경화 과정에서는 hemihydrate가 용해되고 dihydrate가 석출되며, 이후 용해와 석출이 동시에 계속된다.",O,[석고 3P] 4단계 설명의 핵심은 용해와 석출의 연속성이다. Hemihydrate가 포화와 과포화를 거치며 dihydrate로 석출된다. Dihydrate 석출이 hemihydrate의 추가 용해를 가능하게 해 continuous solution과 simultaneous precipitation이 유지된다.,석고
